item_name,1,2,3,4,5,6,7,8,id,count,count_percent,image,average_placement
B.F. Sword,0,0,1,0,0,0,0,1,1,2,0.18,../../../assets/TFT_set_data/set3/items/01.png,5.5
Recurve Bow,0,0,0,0,0,1,0,0,2,1,0.09,../../../assets/TFT_set_data/set3/items/02.png,6.0
Needlessly Large Rod,1,1,0,0,0,1,0,1,3,4,0.35,../../../assets/TFT_set_data/set3/items/03.png,4.25
Tear of the Goddess,1,3,2,1,0,1,4,4,4,16,1.41,../../../assets/TFT_set_data/set3/items/04.png,5.19
Chain Vest,0,0,0,0,0,0,0,0,5,0,0.0,../../../assets/TFT_set_data/set3/items/05.png,0.0
Negatron Cloak,0,0,1,0,0,0,0,1,6,2,0.18,../../../assets/TFT_set_data/set3/items/06.png,5.5
Giant's Belt,0,0,0,0,0,0,0,1,7,1,0.09,../../../assets/TFT_set_data/set3/items/07.png,8.0
Spatula,0,0,0,0,0,0,0,0,8,0,0.0,../../../assets/TFT_set_data/set3/items/08.png,0.0
Sparring Gloves,0,0,0,0,0,0,0,0,9,0,0.0,../../../assets/TFT_set_data/set3/items/09.png,0.0
Deathblade,0,1,0,0,0,1,1,1,11,4,0.35,../../../assets/TFT_set_data/set3/items/11.png,5.75
Giant Slayer,0,0,3,1,0,0,0,0,12,4,0.35,../../../assets/TFT_set_data/set3/items/12.png,3.25
Hextech Gunblade,4,3,1,2,2,2,1,1,13,16,1.41,../../../assets/TFT_set_data/set3/items/13.png,3.62
Spear of Shojin,11,6,13,2,5,10,3,5,14,55,4.85,../../../assets/TFT_set_data/set3/items/14.png,3.93
Guardian Angel,2,5,2,3,1,1,2,1,15,17,1.5,../../../assets/TFT_set_data/set3/items/15.png,3.71
Bloodthirster,0,0,0,0,0,0,0,0,16,0,0.0,../../../assets/TFT_set_data/set3/items/16.png,0.0
Zeke's Herald,0,1,0,0,2,0,2,0,17,5,0.44,../../../assets/TFT_set_data/set3/items/17.png,5.2
Blade of the Ruined King,0,0,0,1,0,0,0,1,18,2,0.18,../../../assets/TFT_set_data/set3/items/18.png,6.0
Infinity Edge,0,1,0,0,0,0,0,0,19,1,0.09,../../../assets/TFT_set_data/set3/items/19.png,2.0
Rapid Firecannon,1,0,1,0,0,0,1,0,22,3,0.26,../../../assets/TFT_set_data/set3/items/22.png,3.67
Guinsoo's Rageblade,0,1,0,2,1,4,1,2,23,11,0.97,../../../assets/TFT_set_data/set3/items/23.png,5.64
Statikk Shiv,1,4,1,2,1,0,1,0,24,10,0.88,../../../assets/TFT_set_data/set3/items/24.png,3.2
Titan's Resolve,0,0,0,0,0,0,0,0,25,0,0.0,../../../assets/TFT_set_data/set3/items/25.png,0.0
Runaan's Hurricane,0,2,1,2,0,0,1,0,26,6,0.53,../../../assets/TFT_set_data/set3/items/26.png,3.67
Zz'Rot Portal,0,0,2,0,0,0,0,0,27,2,0.18,../../../assets/TFT_set_data/set3/items/27.png,3.0
Infiltrator's Talons,2,3,2,3,2,5,0,1,28,18,1.59,../../../assets/TFT_set_data/set3/items/28.png,4.11
Last Whisper,0,0,1,0,0,0,0,0,29,1,0.09,../../../assets/TFT_set_data/set3/items/29.png,3.0
Rabadon's Deathcap,11,9,10,8,9,10,5,4,33,66,5.83,../../../assets/TFT_set_data/set3/items/33.png,3.98
Luden's Echo,5,14,3,4,3,6,5,2,34,42,3.71,../../../assets/TFT_set_data/set3/items/34.png,3.81
Locket of the Iron Solari,1,0,1,1,1,0,0,0,35,4,0.35,../../../assets/TFT_set_data/set3/items/35.png,3.25
Ionic Spark,1,0,0,0,0,1,1,0,36,3,0.26,../../../assets/TFT_set_data/set3/items/36.png,4.67
Morellonomicon,38,42,32,38,22,31,17,19,37,239,21.09,../../../assets/TFT_set_data/set3/items/37.png,3.92
Demolitionist's Charge,4,3,3,1,4,4,3,2,38,24,2.12,../../../assets/TFT_set_data/set3/items/38.png,4.33
Jeweled Gauntlet,4,5,7,6,3,4,3,1,39,33,2.91,../../../assets/TFT_set_data/set3/items/39.png,3.85
Seraph's Embrace,42,36,32,29,27,40,13,24,44,243,21.45,../../../assets/TFT_set_data/set3/items/44.png,4.05
Frozen Heart,1,1,1,0,1,1,0,0,45,5,0.44,../../../assets/TFT_set_data/set3/items/45.png,3.4
Chalice of Favor,3,2,0,7,3,2,0,0,46,17,1.5,../../../assets/TFT_set_data/set3/items/46.png,3.65
Redemption,0,1,1,2,1,2,0,0,47,7,0.62,../../../assets/TFT_set_data/set3/items/47.png,4.29
Star Guardian's Charm,1,1,1,1,0,1,1,1,48,7,0.62,../../../assets/TFT_set_data/set3/items/48.png,4.43
Hand Of Justice,6,5,2,2,3,3,1,2,49,24,2.12,../../../assets/TFT_set_data/set3/items/49.png,3.58
Bramble Vest,0,0,0,0,0,0,0,0,55,0,0.0,../../../assets/TFT_set_data/set3/items/55.png,0.0
Sword Breaker,2,0,0,0,0,0,0,0,56,2,0.18,../../../assets/TFT_set_data/set3/items/56.png,1.0
Red Buff,1,0,0,0,0,0,0,1,57,2,0.18,../../../assets/TFT_set_data/set3/items/57.png,4.5
Rebel Medal,0,1,1,0,0,1,1,0,58,4,0.35,../../../assets/TFT_set_data/set3/items/58.png,4.5
Shroud of Stillness,1,0,0,0,0,0,0,0,59,1,0.09,../../../assets/TFT_set_data/set3/items/59.png,1.0
Dragon's Claw,2,2,0,1,0,1,0,1,66,7,0.62,../../../assets/TFT_set_data/set3/items/66.png,3.43
Zephyr,1,1,0,1,0,0,0,0,67,3,0.26,../../../assets/TFT_set_data/set3/items/67.png,2.33
Celestial Orb,0,0,0,0,0,0,1,0,68,1,0.09,../../../assets/TFT_set_data/set3/items/68.png,7.0
Quicksilver,31,23,25,18,25,24,20,14,69,180,15.89,../../../assets/TFT_set_data/set3/items/69.png,4.14
Warmog's Armor,0,0,0,0,0,0,0,0,77,0,0.0,../../../assets/TFT_set_data/set3/items/77.png,0.0
Protector's Chestguard,0,0,0,0,0,0,0,0,78,0,0.0,../../../assets/TFT_set_data/set3/items/78.png,0.0
Trap Claw,6,7,5,4,1,3,0,4,79,30,2.65,../../../assets/TFT_set_data/set3/items/79.png,3.53
Force of Nature,0,0,0,0,0,0,0,0,88,0,0.0,../../../assets/TFT_set_data/set3/items/88.png,0.0
Dark Star's Heart,0,0,1,0,0,0,0,0,89,1,0.09,../../../assets/TFT_set_data/set3/items/89.png,3.0
